Время                                       Угловой преобразователь 3 COM8 - Абсолютная Угловой преобразователь 2 COM8 - Абсолютная Угловой преобразователь 1 COM8 - Абсолютная 
* 0                                          223°56´43´´                                 261°41´39´´                                 205°45´07´´                                
17063                                        224°01´59´´                                 262°15´56´´                                 212°12´42´´                                
17172                                        224°01´59´´                                 262°05´23´´                                 212°23´15´´                                
17281                                        224°01´59´´                                 262°05´23´´                                 212°23´15´´                                
17391                                        224°01´59´´                                 262°02´45´´                                 212°46´59´´                                
17500                                        224°01´59´´                                 262°05´23´´                                 212°46´59´´                                
17610                                        224°01´59´´                                 262°05´23´´                                 212°49´37´´                                
17719                                        224°01´59´´                                 261°33´45´´                                 212°49´37´´                                
17828                                        224°01´59´´                                 261°33´45´´                                 212°02´10´´                                
17938                                        224°01´59´´                                 261°04´44´´                                 211°25´15´´                                
18047                                        224°01´59´´                                 261°07´22´´                                 211°25´15´´                                
18156                                        224°01´59´´                                 261°07´22´´                                 210°58´53´´                                
18266                                        224°01´59´´                                 261°15´17´´                                 210°58´53´´                                
18375                                        224°01´59´´                                 261°15´17´´                                 210°45´42´´                                
18485                                        224°01´59´´                                 261°33´45´´                                 210°45´42´´                                
18594                                        224°01´59´´                                 261°33´45´´                                 210°43´03´´                                
18703                                        224°01´59´´                                 261°44´17´´                                 210°35´09´´                                
18813                                        224°01´59´´                                 262°02´45´´                                 210°35´09´´                                
18922                                        224°01´59´´                                 262°02´45´´                                 210°32´31´´                                
19031                                        224°01´59´´                                 262°29´07´´                                 210°32´31´´                                
19141                                        224°01´59´´                                 262°29´07´´                                 210°35´09´´                                
19250                                        224°01´59´´                                 262°10´39´´                                 210°16´41´´                                
19360                                        224°01´59´´                                 262°10´39´´                                 210°16´41´´                                
19469                                        224°01´59´´                                 261°54´50´´                                 209°52´58´´                                
19578                                        224°01´59´´                                 261°12´39´´                                 209°52´58´´                                
19688                                        224°01´59´´                                 261°12´39´´                                 209°42´25´´                                
19797                                        224°01´59´´                                 260°43´39´´                                 209°08´08´´                                
19906                                        224°01´59´´                                 260°43´39´´                                 209°08´08´´                                
20016                                        224°01´59´´                                 260°27´49´´                                 209°08´08´´                                
20125                                        224°01´59´´                                 260°43´39´´                                 209°08´08´´                                
20235                                        224°01´59´´                                 260°43´39´´                                 209°23´57´´                                
20344                                        224°01´59´´                                 261°54´50´´                                 209°23´57´´                                
20453                                        224°01´59´´                                 261°54´50´´                                 210°03´30´´                                
20563                                        224°01´59´´                                 263°16´34´´                                 211°06´47´´                                
20672                                        224°01´59´´                                 264°14´35´´                                 211°06´47´´                                
20781                                        224°01´59´´                                 264°14´35´´                                 212°07´26´´                                
20891                                        224°01´59´´                                 265°09´57´´                                 212°07´26´´                                
21000                                        224°01´59´´                                 265°09´57´´                                 212°52´15´´                                
21110                                        224°01´59´´                                 265°04´41´´                                 212°52´15´´                                
21219                                        224°01´59´´                                 265°04´41´´                                 213°29´10´´                                
21328                                        224°01´59´´                                 264°25´08´´                                 213°55´32´´                                
21438                                        224°01´59´´                                 263°32´24´´                                 213°55´32´´                                
21547                                        224°01´59´´                                 263°32´24´´                                 214°27´11´´                                
21656                                        224°01´59´´                                 262°47´34´´                                 214°27´11´´                                
21766                                        224°01´59´´                                 262°47´34´´                                 214°53´33´´                                
21875                                        224°01´59´´                                 261°57´28´´                                 215°09´22´´                                
21985                                        224°01´59´´                                 261°57´28´´                                 215°09´22´´                                
22094                                        224°01´59´´                                 261°02´06´´                                 215°12´00´´                                
22203                                        224°01´59´´                                 260°48´55´´                                 215°12´00´´                                
22313                                        224°01´59´´                                 260°48´55´´                                 214°58´49´´                                
22422                                        224°01´59´´                                 260°41´00´´                                 214°58´49´´                                
22531                                        224°01´59´´                                 260°41´00´´                                 214°29´49´´                                
22641                                        224°01´59´´                                 260°48´55´´                                 213°45´00´´                                
22750                                        224°01´59´´                                 260°48´55´´                                 213°45´00´´                                
22860                                        224°01´59´´                                 260°48´55´´                                 213°02´48´´                                
22969                                        224°01´59´´                                 260°56´50´´                                 213°02´48´´                                
23078                                        224°01´59´´                                 260°56´50´´                                 212°33´48´´                                
23188                                        224°01´59´´                                 261°12´39´´                                 212°33´48´´                                
23297                                        224°01´59´´                                 261°12´39´´                                 212°04´48´´                                
23406                                        224°01´59´´                                 261°33´45´´                                 211°41´04´´                                
23516                                        224°01´59´´                                 261°33´45´´                                 211°41´04´´                                
23625                                        224°01´59´´                                 261°57´28´´                                 211°22´37´´                                
23735                                        224°01´59´´                                 262°05´23´´                                 211°22´37´´                                
23844                                        224°01´59´´                                 262°05´23´´                                 210°58´53´´                                
23953                                        224°01´59´´                                 262°00´07´´                                 210°32´31´´                                
24063                                        224°01´59´´                                 262°00´07´´                                 210°32´31´´                                
24172                                        224°01´59´´                                 261°52´12´´                                 210°08´47´´                                
24281                                        224°01´59´´                                 261°20´33´´                                 210°08´47´´                                
24391                                        224°01´59´´                                 261°20´33´´                                 209°18´41´´                                
24500                                        224°01´59´´                                 260°51´33´´                                 209°18´41´´                                
24610                                        224°01´59´´                                 260°51´33´´                                 208°31´13´´                                
24719                                        224°01´59´´                                 260°48´55´´                                 207°49´02´´                                
24828                                        224°01´59´´                                 261°25´50´´                                 207°49´02´´                                
24938                                        224°01´59´´                                 261°25´50´´                                 207°33´13´´                                
25047                                        224°01´59´´                                 262°13´18´´                                 207°33´13´´                                
25156                                        224°01´59´´                                 262°13´18´´                                 207°09´29´´                                
25266                                        224°01´59´´                                 262°55´29´´                                 207°09´29´´                                
25375                                        224°01´59´´                                 262°55´29´´                                 207°06´51´´                                
25485                                        224°01´59´´                                 263°32´24´´                                 207°25´18´´                                
25594                                        224°01´59´´                                 263°58´46´´                                 207°25´18´´                                
25703                                        224°01´59´´                                 263°58´46´´                                 207°49´02´´                                
25813                                        224°01´59´´                                 264°04´02´´                                 207°49´02´´                                
